区分,一般名コード,一般名処方の標準的な記載,成分名,規格,一般名処方加算対象,例外コード,同一剤形・規格内の最低薬価,備考,薬価基準収載医薬品コード_例外コード,品名_例外コード,備考_例外コード
内用薬,2149117F1ZZZ,【般】テルミサルタン４０ｍｇ・アムロジピン配合錠,テルミサルタン・アムロジピンベシル酸塩,１錠,"加算1,2",,10.4,先発品はミカムロ配合錠ＡＰ／後発品はテラムロ配合錠ＡＰ,,,
内用薬,2149117F2ZZZ,【般】テルミサルタン８０ｍｇ・アムロジピン配合錠,テルミサルタン・アムロジピンベシル酸塩,１錠,"加算1,2",,14,先発品はミカムロ配合錠ＢＰ／後発品はテラムロ配合錠ＢＰ,,,
内用薬,2149118F1ZZZ,【般】イルベサルタン・アムロジピン５ｍｇ配合錠,イルベサルタン・アムロジピンベシル酸塩,１錠,"加算1,2",,12.8,先発品はアイミクス配合錠ＬＤ／後発品はイルアミクス配合錠ＬＤ,,,
内用薬,2149118F2ZZZ,【般】イルベサルタン・アムロジピン１０ｍｇ配合錠,イルベサルタン・アムロジピンベシル酸塩,１錠,"加算1,2",,14.1,先発品はアイミクス配合錠ＨＤ／後発品はイルアミクス配合錠ＨＤ,,,
内用薬,2149121F1ZZZ,【般】アジルサルタン・アムロジピン２．５ｍｇ配合錠,アジルサルタン・アムロジピンベシル酸塩,１錠,"加算1,2",,26.9,先発品はザクラス配合錠ＬＤ／後発品はジルムロ配合錠ＬＤ,,,
内用薬,2149121F2ZZZ,【般】アジルサルタン・アムロジピン５ｍｇ配合錠,アジルサルタン・アムロジピンベシル酸塩,１錠,"加算1,2",,27.7,先発品はザクラス配合錠ＨＤ／後発品はジルムロ配合錠ＨＤ,,,
内用薬,2149121F3ZZZ,【般】アジルサルタン・アムロジピン２．５ｍｇ配合口腔内崩壊錠,アジルサルタン・アムロジピンベシル酸塩,１錠,加算1,,26.9,,,,
内用薬,2149121F4ZZZ,【般】アジルサルタン・アムロジピン５ｍｇ配合口腔内崩壊錠,アジルサルタン・アムロジピンベシル酸塩,１錠,加算1,,27.7,,,,
内用薬,2160002F1ZZZ,【般】ミドドリン塩酸塩錠２ｍｇ,ミドドリン塩酸塩,２ｍｇ１錠,"加算1,2",,6.1,,,,
内用薬,2160002F2ZZZ,【般】ミドドリン塩酸塩口腔内崩壊錠２ｍｇ,ミドドリン塩酸塩,２ｍｇ１錠,"加算1,2",,6.1,,,,
